url,created,locale,product
https://support.mozilla.org/en-US/questions/1253636,2019-03-19 21:58:52 UTC,en-US,firefox
https://support.mozilla.org/en-US/questions/1253637,2019-03-19 22:04:02 UTC,en-US,firefox
https://support.mozilla.org/en-US/questions/1253639,2019-03-19 22:27:46 UTC,en-US,firefox
https://support.mozilla.org/en-US/questions/1253640,2019-03-19 22:40:31 UTC,en-US,firefox
https://support.mozilla.org/es/questions/1253641,2019-03-19 22:42:31 UTC,es,firefox
https://support.mozilla.org/es/questions/1253643,2019-03-19 23:05:49 UTC,es,firefox
https://support.mozilla.org/en-US/questions/1253644,2019-03-19 23:20:48 UTC,en-US,firefox
https://support.mozilla.org/en-US/questions/1253645,2019-03-19 23:32:06 UTC,en-US,firefox
https://support.mozilla.org/en-US/questions/1253646,2019-03-19 23:47:22 UTC,en-US,firefox
https://support.mozilla.org/en-US/questions/1253647,2019-03-19 23:54:25 UTC,en-US,firefox
