created,product,content,tags,url,locale
2021-11-02 10:28:09 UTC,Firefox for iOS,"<p>How do I bookmark a page or see my history. I cannot save anything in booksmarks or in History. Its a blank page
</p>","[{""name""=>""ios"", ""slug""=>""ios""}, {""name""=>""firefox-ios-not-working-expected"", ""slug""=>""firefox-ios-not-working-expected""}]",https://support.mozilla.org/en-US/questions/1356321,en-US
2021-11-02 16:38:41 UTC,Firefox for iOS,"<p>It should just open the hyperlinked page...but it doesn't
</p>","[{""name""=>""ios"", ""slug""=>""ios""}, {""name""=>""firefox-ios-not-working-expected"", ""slug""=>""firefox-ios-not-working-expected""}]",https://support.mozilla.org/en-US/questions/1356368,en-US
2021-11-02 18:17:21 UTC,Firefox for iOS,"<p>My phone tells me to ""scan the QR Code"".  Where is it???
</p>","[{""name""=>""ios"", ""slug""=>""ios""}, {""name""=>""firefox-ios-not-working-expected"", ""slug""=>""firefox-ios-not-working-expected""}]",https://support.mozilla.org/en-US/questions/1356378,en-US
